Tweet,Subjectivity,Label,Sentiment Polarity
"Imperious Russia Send Egypt to the Brink of World Cup Elimination
https://t.co/7Zyv3hHo4u",0.0,Negative,0.0
"EGYPT NOW  4/7

Egypt Football Association (EFA) considering one year suspension for players who gave unauthorized… https://t.co/HKXmFs3C7D",0.0,Negative,0.0
I liked a @YouTube video https://t.co/4JUEatE7NX Egypt Flag | Football World Cup Series 🇪🇬,0.8,Positive,0.6
"RT @SolaEgunjobi: Egypt crash out of World Cup. Hundreds flock to Salah’s house. He comes out to mingle and sign autographs.
 
Nigeria need…",0.0,Negative,0.0
"Wait oo so Egypt left the World cup with zero point But if its to disturb the Israelites from crossing the red sea,… https://t.co/ymqksG1JqO",0.0,Negative,0.0
RT @LouisVuitton: Kick off the 2018 FIFA #WorldCup with #LouisVuitton. The limited edition Collection is available now at https://t.co/Gpcf…,0.27142857142857146,Positive,0.1642857142857143
"RT @samraaroshdy: In 2012. Yaya Toure turned down the traditional post-match bottle of bubbly, Saying;  I don't drink because I am Muslim S…",0.5194444444444445,Negative,-0.07777777777777779
"RT @SolaEgunjobi: Egypt crash out of World Cup. Hundreds flock to Salah’s house. He comes out to mingle and sign autographs.
 
Nigeria need…",0.0,Negative,0.0
"🏀: Egypt to face Croatia in round of 16 of U-17 World Cup
https://t.co/1P4G8KduCw https://t.co/K7n8z2uHjz",0.4,Negative,-0.2
I liked a @YouTube video https://t.co/rcgkseasNH Egypt Flag | Football World Cup Series 🇪🇬,0.8,Positive,0.6
"Hector Cuper built a mentality base for our national team. Egypt was never a defensive team, and as we can all see… https://t.co/N4ftVAQVGV",1.0,Negative,-0.8
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
Watch Egypt’s 2018 FIFA World Cup™ matches in 90 seconds or less | 2018 FIFA World Cup™ https://t.co/yscYZxrVvW https://t.co/bMeHOKFBSd,0.06666666666666667,Negative,-0.16666666666666666
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
"Morocco,Saudi Arabia,Egypt,Nigeria and Iran are all out of the World Cup. This proves that praying 5 times a day does absolutely fuck all.",0.3,Negative,-0.05000000000000002
@Robbo_WWFC Seen it already. Egypt at the world cup,0.0,Negative,0.0
"RT @ProfCymoh254: Please note: It's Nigeria ,Morocco, Egypt  and Tunisia which have lost not Africa. We can't carry other people's cross. *…",0.1875,Negative,-0.0625
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
"Can you match the player correctly to the country they’re repping at FIFA World Cup 2018:

Neymar             Spain… https://t.co/zScTWq6moO",0.0,Negative,0.0
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
I liked a @YouTube video https://t.co/a3rEmucX3C Saudi Arabia v Egypt - 2018 FIFA World Cup Russia™ - Match 34,0.8,Positive,0.6
Comment - ‘Egypt's World Cup: A spectacular own goal for #Sisi's regime‘ // #WordCup https://t.co/dtZp422RBL,0.95,Positive,0.6
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
@messyythoughts Egypt wins the World Cup more easy 😂😂😂😂😂it’s impossible 😂😂mosh hayktn3o,0.6333333333333333,Positive,0.1416666666666667
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
RT @MiddleEastEye: Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
Is Egypt's Mohamed Salah upset about being used politically during the World Cup? https://t.co/BywXrSpCsQ,0.1,Negative,0.0
RT @SaharaReporters: #SaharaSports: Maiden Salah Start Not Enough To Save Egypt From Crashing Out Of World Cup | Sahara Sports #Egy #Rus #E…,0.5,Negative,0.0
RT @SaharaReporters: #SaharaSports: Maiden Salah Start Not Enough To Save Egypt From Crashing Out Of World Cup | Sahara Sports #Egy #Rus #E…,0.5,Negative,0.0
RT @SaharaReporters: #SaharaSports: Maiden Salah Start Not Enough To Save Egypt From Crashing Out Of World Cup #WorldCup #RUSEGY #RUS #EGY…,0.5,Negative,0.0
RT @SaharaReporters: #EgyptRussia: Salah To Make World Cup Debut Against Russia | Sahara Sport @FIFAWorldCup #Russia2018 #RUSEGY https://t.…,0.0,Negative,0.0
RT @maxbarilpods: The quarter final matchups in the Stoppage Time Best Fanbase of the World Cup Tournament. Get ready to vote. Twitter poll…,0.6,Positive,0.39999999999999997
The quarter final matchups in the Stoppage Time Best Fanbase of the World Cup Tournament. Get ready to vote. Twitte… https://t.co/fBhFDwc692,0.6,Positive,0.39999999999999997
"RT @schoolnmps: NMP World Cup - Results of today's play now in...
Y1 Egypt 4 v USA 2  (tightly fought match)
Y6 India 10 v Y3 Barbados 0 (g…",0.2857142857142857,Negative,-0.17857142857142858
@OMGitsAliA Egypt will win the World Cup,0.4,Positive,0.8
"NMP World Cup - Results of today's play now in...
Y1 Egypt 4 v USA 2  (tightly fought match)
Y6 India 10 v Y3 Barba… https://t.co/k7SuaAlPZF",0.2857142857142857,Negative,-0.17857142857142858
"i can’t believe i did a sweep stake at my local pub £5 and got egypt to win the world cup, i asked last night who d… https://t.co/98pJBr216I",0.15555555555555556,Positive,0.26666666666666666
"After leaving back from the World Cup Egypt, Saudi Arabia, Iran, Tunisia, Morocco and Nigeria the only Muslim count… https://t.co/lTwY5Ozf7P",0.5,Negative,0.0
"RT @beINSPORTS: It's looking positive for 🇪🇬 #Egypt! 
#Russia2018 #Salah 
https://t.co/aG37DGTLIo",0.5454545454545454,Positive,0.28409090909090906
Egypt's World Cup: A spectacular own goal for Sisi's regime [@The_NewArab] https://t.co/z6CVHGLCQM,0.95,Positive,0.6
"Famed Egyptian footballer Aboutrika apologises for selfie with Israeli fan at World Cup
https://t.co/yXs0q3WSv0",0.0,Negative,0.0
"RT @Slick_Uno: NEW STOCK OF WORLD CUP JERSEYS JUST IN!!!
Price: K200 ONLY
*nigeria
*Senegal
*Egypt
*england
*argentina
*brasil
*belgium
*po…",0.7272727272727273,Positive,0.13316761363636362
@Reuters He is talking about population size to win ratio.  How some nations with small population can achieve a lo… https://t.co/4AbnPFZc4Z,0.4,Positive,0.275
